ac_number,constituency,winner_candidate,winner_party,winner_votes,turnout,region,reserved,runner_candidate,runner_party,runner_votes,margin
56,Thalli,RAMACHANDRAN.T,CPI,120641,77.06,North,GEN,Dr.NAGESH KUMAR.C,BJP,64415,56226
57,Palacode,ANBALAGAN.K.P.,AIADMK,110070,87.37,North,GEN,MURUGAN.P.K.,DMK,81970,28100
58,Pennagaram,MANI. G.K,PMK,106123,85.0,North,GEN,INBASEKARAN. P.N.P,DMK,84937,21186
59,Dharmapuri,VENKATESHWARAN.S.P.,PMK,105630,79.69,North,GEN,SUBRAMANI.P,DMK,78770,26860
60,Pappireddippatti,GOVINDASAMY.A,AIADMK,114507,82.15,North,GEN,PRABHURAJASEKAR.M,DMK,77564,36943
61,Harur,SAMPATHKUMAR.V,AIADMK,99061,78.46,North,SC,KUMAR.A,CPI(M),68699,30362
62,Chengam,GIRI.M.P,DMK,108081,80.66,North,SC,NAINAKANNU.M.S,AIADMK,96511,11570
63,Tiruvannamalai,E V VELU,DMK,137876,71.69,North,GEN,S THANIGAIVEL,BJP,43203,94673
64,Kilpennathur,K.Pitchandi,DMK,104675,79.35,North,GEN,K.Selvakumar,PMK,77888,26787
65,Kalasapakkam,Saravanan.P.S.T,DMK,94134,80.36,North,GEN,Panneerselvam.V,AIADMK,84912,9222
66,Polur,Agri KRISHNAMURTHY. S S,AIADMK,97732,82.33,North,GEN,SEKARAN. K.V,DMK,88007,9725
67,Arani,S.RAMACHANDRAN,AIADMK,102961,79.84,North,GEN,S.S.ANBALAGAN,DMK,99833,3128
68,Cheyyar,JOTHI. O,DMK,102460,81.69,North,GEN,DUSI. K. MOHAN,AIADMK,90189,12271
69,Vandavasi,Ambethkumar S,DMK,102064,76.81,North,SC,Murali S,PMK,66111,35953
70,Gingee,MASTHAN K S,DMK,109625,78.21,Central,GEN,RAJENDIRAN P,PMK,73822,35803
71,Mailam,SIVAKUMAR C,PMK,81044,79.5,Central,GEN,Dr. MASILAMANI R,DMK,78814,2230
72,Tindivanam,ARJUNAN P,AIADMK,87152,78.43,Central,SC,SEETHAPATHY P,DMK,77399,9753
73,Vanur,CHAKRAPANI M,AIADMK,92219,79.79,Central,SC,VANNI ARASU,VCK,70492,21727
74,Villupuram,LAKSHMANAN R,DMK,102271,76.97,Central,GEN,SHANMUGAM C Ve,AIADMK,87403,14868
75,Vikravandi,PUGAZHENTHI N,DMK,93730,81.39,Central,GEN,MUTHAMILSELVAN R,AIADMK,84157,9573
76,Tirukkoyilur,K.PONMUDY,DMK,110980,76.27,Central,GEN,VAT.KALIVARADHAN,BJP,51300,59680
77,Ulundurpet,MANIKANNAN A J,DMK,115451,82.62,Central,GEN,KUMARAGURU R,AIADMK,110195,5256
78,Rishivandiam,KARTHIKEYAN K,DMK,113912,80.18,Central,GEN,SANTHOSH S A,AIADMK,72184,41728
79,Sankarapuram,UDHAYASURIYAN T,DMK,121186,79.58,Central,GEN,Dr.RAJA G,PMK,75223,45963
80,Kallakurichi,Senthilkumar.M,AIADMK,110643,78.16,Central,SC,Manirathinem.K.I,INC,84752,25891
81,Gangavalli,"NALLATHAMBI,A.",AIADMK,89568,77.11,Central,SC,"REKHA PRIYADHARSHINI,J.",DMK,82207,7361
82,Attur,"JAYASANKARAN, A.P.",AIADMK,95308,77.26,Central,SC,"CHINNADURAI, K.",DMK,87051,8257
83,Yercaud,G. Chitra,AIADMK,121561,83.09,Central,ST,C. TAMILSELVAN,DMK,95606,25955
84,Omalur,R.MANI,AIADMK,142488,83.28,Central,GEN,RANGARAJAN MOHAN KUMARAMANGALAM,INC,87194,55294
85,Mettur,SADHASIVAM.S,PMK,97055,75.01,Central,GEN,SRINIVASAPERUMAL.S,DMK,96399,656
86,Edapadi,EDAPPADI PALANISWAMI. K,AIADMK,163154,85.64,Central,GEN,SAMBATHKUMAR. T,DMK,69352,93802
87,Sankari,"SUNDARARAJAN, S.",AIADMK,115472,83.71,Central,GEN,"RAJESH, K.M.",DMK,95427,20045
88,Salem (West),ARUL. R,PMK,105483,71.81,Central,GEN,RAJENDRAN. A,DMK,83984,21499
89,Salem (North),R. RAJENDRAN,DMK,93432,72.14,Central,GEN,G.VENKATACHALAM,AIADMK,85844,7588
90,Salem (South),E.BALASUBRAMANIAN,AIADMK,97506,76.0,Central,GEN,A.S.SARAVANAN,DMK,74897,22609
91,Veerapandi,"RAJAMUTHU, M.",AIADMK,111682,85.64,Central,GEN,"THARUN, A.K.",DMK,91787,19895
92,Rasipuram,MATHIVENTHAN M,DMK,90727,82.05,Central,SC,SAROJA V. Dr,AIADMK,88775,1952
93,Sendamangalam,PONNUSAMY K,DMK,90681,80.93,Central,ST,CHANDRAN S,AIADMK,80188,10493
94,Namakkal,RAMALINGAM P,DMK,106494,78.57,Central,GEN,BASKAR K.P.P.,AIADMK,78633,27861
95,Paramathi-Velur,SEKAR S,AIADMK,86034,81.14,Central,GEN,MOORTHIY K S,DMK,78372,7662
96,Tiruchengode,ESWARAN E R,DMK,81688,78.71,Central,GEN,SARASWATHI PON,AIADMK,78826,2862
97,Kumarapalayam,THANGAMANI.P,AIADMK,100800,78.85,Central,GEN,M.VENKATACHALAM,DMK,69154,31646
98,Erode (East),"THIRUMAHAN EVERAA,E.",INC,67300,66.24,Kongu,GEN,"YUVARAJA,M.",AIADMK,58396,8904
99,Erode (West),Muthusamy S,DMK,100757,69.36,Kongu,GEN,Ramalingam K V,AIADMK,78668,22089
